Date,Open,High,Low,Close,Volume,return_1d,return_5d,realized_vol_20d
2020-12-18,303.152,303.455,299.2,301.583,42329949,-0.0030445878401608173,0.027214545305916715,0.12643944082615513
2020-12-21,298.624,301.554,295.838,301.024,38068609,-0.001853552753305121,0.017901464173401438,0.12249761289138424
2020-12-22,301.926,302.769,298.994,301.837,27070329,0.00270078133304974,0.009836164297400085,0.12194307855619796
2020-12-23,301.887,302.25,300.152,300.318,21757454,-0.005032517550863536,-0.0007153956470671297,0.1184919100089659
2020-12-24,300.583,302.092,300.504,301.642,17225320,0.004408660153570665,-0.0028495490968715176,0.1179316170694672
2020-12-28,304.27,305.162,302.425,304.691,23087931,0.010108008831661408,0.010305620674905258,0.11865617364327545
2020-12-29,306.025,306.642,304.053,304.964,26550626,0.0008959897076055157,0.013088657382799962,0.11876633258959227
2020-12-30,306.133,306.455,304.347,304.974,18613888,3.2790755630118795e-05,0.010393026699841323,0.11224013682057454
2020-12-31,304.877,306.21,303.789,305.72,22178346,0.0024461101602104574,0.017987599810867394,0.11226482871399772
2021-01-04,307.062,307.24,297.379,301.395,46494413,-0.014146931833050047,-0.0008188514861988683,0.1256162215243345
2021-01-05,300.405,304.161,300.405,303.886,30092652,0.008264901541167102,-0.0026420209326825095,0.12786590481183763
2021-01-06,299.152,303.906,298.163,299.681,54194982,-0.01383742587680925,-0.01732335619942027,0.13712619328010836
2021-01-07,302.348,307.767,302.318,306.934,31192176,0.024202401887340352,0.0064267773646278226,0.161363194340734
2021-01-08,309.22,311.22,307.032,310.877,34846614,0.012846409977389284,0.01686837629203186,0.13950475643474491
2021-01-11,307.905,309.071,305.73,306.385,33731353,-0.01444944463565978,0.01655634632293168,0.15249932531455518
2021-01-12,306.425,307.515,303.25,305.895,30034520,-0.001599295004651058,0.006611031768491982,0.1522788723610085
2021-01-13,306.162,308.76,305.553,307.964,23499112,0.00676375880612623,0.02763938988457726,0.15205729207102386
2021-01-14,308.404,309.406,305.835,306.317,24116610,-0.005348027691548296,-0.0020102041481231403,0.15063661376096749
2021-01-15,306.104,307.072,302.64,303.886,36039990,-0.00793622293245222,-0.022487993643788284,0.15317220793413377
2021-01-19,306.22,308.828,305.113,308.318,25180733,0.014584416524617616,0.0063090555999802955,0.15981910050441284
2021-01-20,311.953,316.434,308.404,315.505,31534189,0.023310348406515358,0.03141600876117634,0.17738686574459092
2021-01-21,316.835,318.768,315.465,318.015,25981076,0.007955499912838171,0.032636931589406615,0.17774418675739118
2021-01-22,316.964,318.11,316.405,317.091,22176327,-0.0029055233243714396,0.03517271323498217,0.17889953342400955
2021-01-25,320.504,321.873,313.2,319.717,40105851,0.008281534322954531,0.052095193592333944,0.1776747912163038
2021-01-26,320.445,321.335,318.846,320.189,26167005,0.0014763056077720105,0.038502455257234613,0.17771377366360316
2021-01-27,317.916,317.926,309.24,311.258,56713730,-0.027892900755491445,-0.013460959414272389,0.2065431471061586
2021-01-28,312.474,318.073,311.848,313.112,43960053,0.005956473407912499,-0.015417511752590207,0.20724143535176043
2021-01-29,311.405,312.524,304.769,306.523,56708634,-0.021043588236797084,-0.0333279720963382,0.2220599651480651
2021-02-01,309.973,315.278,307.944,314.18,36581113,0.024980180932588913,-0.017318440996256013,0.23867086133403112
2021-02-02,317.151,320.465,316.982,319.297,34820956,0.016286841937742658,-0.002785854604624105,0.2366940242486734
2021-02-03,321.394,321.759,317.975,318.035,25475741,-0.003952433001249589,0.021772934350281936,0.23705874707948865
2021-02-04,319.434,321.883,318.11,321.796,22937282,0.011825742449730337,0.02773448478499696,0.23119793693781684
2021-02-05,322.756,323.913,321.111,322.896,23328289,0.0034183147086974675,0.05341524127063879,0.2181141786158929
2021-02-08,324.592,325.198,322.945,325.05,20999615,0.006670878549130288,0.034598001145839996,0.21536107055456352
2021-02-09,324.132,326.248,324.122,324.982,18059114,-0.00020919858483303688,0.017804739787721235,0.20640079768004013
2021-02-10,326.422,326.874,321.082,324.248,28805030,-0.0022585866294134727,0.019535585705975578,0.2066101305797493
2021-02-11,325.775,326.432,323.642,326.023,22624409,0.005474204929560189,0.013135651157876627,0.206348952029685
2021-02-12,325.168,328.013,324.142,327.845,20880580,0.005588562770111327,0.015326916406521063,0.20416750192301666
2021-02-16,328.649,329.552,325.785,326.954,27791190,-0.0027177477161464125,0.005857560375326809,0.2011146698655505
2021-02-17,323.983,327.071,321.739,325.386,32292945,-0.0047957816695926025,0.001243145774227461,0.19901097913828195
2021-02-18,321.786,325.327,319.962,323.983,33081897,-0.004311801982875729,-0.0008172756655399072,0.18485280473277851
2021-02-19,325.317,325.445,321.544,322.562,40184905,-0.004386032600475875,-0.01061581544860335,0.18423020130771686
2021-02-22,318.149,319.415,313.993,314.2,48496642,-0.025923698389767047,-0.041620277875215494,0.20703512322475962
2021-02-23,308.897,314.945,303.054,313.269,99792895,-0.0029630808402291153,-0.04185604091095385,0.20463176633845478
2021-02-24,310.592,316.16,307.885,315.856,59733204,0.008258078520376966,-0.02928829144462275,0.20709452719952562
2021-02-25,313.18,315.757,303.287,304.837,113073014,-0.03488615065092959,-0.05909569329254938,0.22038005333737573
2021-02-26,307.777,310.954,302.936,306.114,107487493,0.004189124023658453,-0.050991747322995384,0.21973385328901163
2021-03-01,311.103,315.668,309.808,315.328,50454256,0.030099897423835564,0.003590070019096059,0.23259283623799648
2021-03-02,315.976,316.053,310.003,310.259,49638932,-0.016075324741221753,-0.009608355758150333,0.22313086571587804
2021-03-03,309.15,310.102,301.201,301.249,88565019,-0.029040253465652865,-0.046245757560407164,0.23547960775314417
