Date,Open,High,Low,Close,Volume,return_1d,return_5d,realized_vol_20d,spot,strike,dte,T,sigma,r,option_type,call_price,delta,gamma,theta,vega,hedge_0,hedge_25,hedge_50,hedge_75,hedge_100,spot_next,sigma_next,call_price_next,option_pnl,option_pnl_contract,total_pnl_0,total_pnl_25,total_pnl_50,total_pnl_75,total_pnl_100,best_hedge_idx,target_hedge_ratio
2018-03-08,237.878,238.427,236.03,237.888,6123421.4737159,0.0042214042078956,0.0128453491491073,0.2283862378334798,237.888,238.0,30,0.0821917808219178,0.2283862378334798,0.03,call,6.44657729030817,0.5251995712130926,0.0255614712316651,-41.2807648464597,27.153713889610312,-0.0,-0.1312998928032731,-0.2625997856065463,-0.3938996784098194,-0.5251995712130926,242.113,0.178300223198366,7.504650827386598,1.0580735370784282,105.80735370784282,105.80735370784282,105.25129866182097,104.6952436157991,104.13918856977723,103.58313352375538,0,0.0
2018-03-09,239.596,242.113,239.026,242.113,4088852.33538,0.0177604587032553,0.0333858321489088,0.178300223198366,242.113,242.0,30,0.0821917808219178,0.178300223198366,0.03,call,5.292185228098461,0.5330458161676602,0.032124214902495,-33.645421526599385,27.596183095683173,-0.0,-0.133261454041915,-0.2665229080838301,-0.3997843621257452,-0.5330458161676602,240.575,0.1765528391229726,4.371734531665439,-0.9204506964330221,-92.04506964330221,-92.04506964330221,-91.84144614152616,-91.63782263975011,-91.43419913797408,-91.23057563619803,4,1.0
2018-03-12,242.593,243.223,240.325,240.575,5773763.7030803,-0.0063524056948615,0.0125721837803256,0.1765528391229726,240.575,241.0,30,0.0821917808219178,0.1765528391229726,0.03,call,4.940412666267463,0.5156152782589298,0.0327369198489287,-33.102756576224614,27.49425144201736,-0.0,-0.1289038195647324,-0.2578076391294649,-0.3867114586941974,-0.5156152782589298,238.917,0.1699884492144276,3.8658405980297204,-1.0745720682377424,-107.45720682377424,-107.45720682377424,-107.24477332913158,-107.03233983448888,-106.81990633984621,-106.60747284520353,4,1.0
2018-03-13,241.663,242.513,238.377,238.917,6389670.3772953,-0.0068918216772315,0.0055937168543866,0.1699884492144276,238.917,239.0,30,0.0821917808219178,0.1699884492144276,0.03,call,4.896855955570999,0.5270418352593434,0.0341845730291498,-31.82313978122287,27.262901071835785,-0.0,-0.1317604588148358,-0.2635209176296717,-0.3952813764445075,-0.5270418352593434,236.668,0.1739175860462466,3.8169513433842326,-1.0799046121867661,-107.99046121867661,-107.99046121867661,-107.6954495513902,-107.40043788410378,-107.10542621681736,-106.81041454953095,4,1.0
2018-03-14,240.055,240.255,235.74,236.668,6517398.3382504,-0.0094133108987639,-0.000928708925737,0.1739175860462466,236.668,237.0,30,0.0821917808219178,0.1739175860462466,0.03,call,4.831596262244801,0.5184518137240527,0.0337713149579503,-32.143853961167295,27.039517749372024,-0.0,-0.1296129534310131,-0.2592259068620263,-0.3888388602930395,-0.5184518137240527,237.748,0.1701836879289079,5.223136551086441,0.3915402888416395,39.15402888416395,39.15402888416395,39.01275076492415,38.87147264568434,38.73019452644454,38.58891640720474,0,0.0
2018-03-15,237.588,239.476,236.59,237.748,5309559.3833445,0.0045633545726502,-0.0005885122410547,0.1701836879289079,237.748,238.0,30,0.0821917808219178,0.1701836879289079,0.03,call,4.79290784570118,0.5212216615376345,0.0343436166967721,-31.68539978164533,27.153517326147593,-0.0,-0.1303054153844086,-0.2606108307688172,-0.3909162461532258,-0.5212216615376345,238.278,0.1637184440741188,4.813859844588322,0.020951998887142054,2.0951998887142054,2.0951998887142054,2.0248349644066246,1.9544700400990438,1.884105115791463,1.8137401914838822,0,0.0
2018-03-16,237.768,239.266,237.538,238.278,3585947.6386909,0.0022292511398622,-0.0158397112092287,0.1637184440741188,238.278,238.0,30,0.0821917808219178,0.1637184440741188,0.03,call,4.898651893480178,0.5401745690255576,0.0354898971878514,-30.71899853347604,27.114314704729715,-0.0,-0.1350436422563894,-0.2700872845127788,-0.4051309267691682,-0.5401745690255576,235.2,0.1695649969083364,3.4766777381343132,-1.4219741553458647,-142.19741553458647,-142.19741553458647,-141.78310164014388,-141.36878774570127,-140.95447385125865,-140.54015995681604,4,1.0
2018-03-19,237.508,237.578,233.702,235.2,6000389.2906321,-0.0129176843854657,-0.0223423048945234,0.1695649969083364,235.2,235.0,30,0.0821917808219178,0.1695649969083364,0.03,call,4.953355596675877,0.5368608370843735,0.0347426742825798,-31.269451965168408,26.78566766488401,-0.0,-0.1342152092710933,-0.2684304185421867,-0.4026456278132801,-0.5368608370843735,236.35,0.1671299182636715,5.443725255498464,0.490369658822587,49.0369658822587,49.0369658822587,48.88127623950423,48.72558659674976,48.56989695399529,48.41420731124082,0,0.0
2018-03-20,235.76,237.078,235.6,236.35,3406462.0152239,0.0048894557823129,-0.010744317064085,0.1671299182636715,236.35,236.0,30,0.0821917808219178,0.1671299182636715,0.03,call,4.989433451581803,0.5423467496056105,0.0350291956443278,-31.024577654404027,26.879672270770484,-0.0,-0.1355866874014026,-0.2711733748028052,-0.4067600622042078,-0.5423467496056105,235.88,0.1656096734256401,4.612731215118771,-0.37670223646303214,-37.670223646303214,-37.670223646303214,-37.60785377009857,-37.54548389389392,-37.48311401768928,-37.42074414148463,4,1.0
2018-03-21,236.39,238.797,235.6,235.88,4538663.0098347,-0.0019885762640152,-0.0033295587067115,0.1656096734256401,235.88,236.0,30,0.0821917808219178,0.1656096734256401,0.03,call,4.697479709068446,0.5258974497848843,0.0355469796889506,-30.702826000767764,26.921486438835128,-0.0,-0.131474362446221,-0.2629487248924421,-0.3944230873386632,-0.5258974497848843,228.937,0.1930165256052273,2.4412258511110423,-2.256253857957404,-225.62538579574039,-225.62538579574039,-224.71387404090072,-223.80236228606108,-222.89085053122142,-221.97933877638178,4,1.0
